,DBA,CUISINE DESCRIPTION,BORO,BUILDING,STREET,ZIPCODE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
50058425,YIN TRADITIONAL HOT POT,Chinese,Queens,135-25A,40TH RD,11354.0,40.758862478494,-73.830125762081,407.0,20.0,87100.0,4114127.0,4050360146.0,QN22
50058431,XIFU FOOD,Chinese,Brooklyn,318,LIVINGSTON ST,11217.0,40.688155346244,-73.981981737939,302.0,33.0,3700.0,3000510.0,3001660029.0,BK38
50058432,WHITE NOISE COFFEE,Café/Coffee/Tea,Queens,4102,162ND ST,11358.0,40.761214061503,-73.803880147239,407.0,20.0,117100.0,4120428.0,4053340017.0,QN51
50058435,CHINA DELIGHT 699,Chinese,Brooklyn,4009,5TH AVE,11232.0,40.650577926881,-74.004602023401,307.0,38.0,8800.0,3017971.0,3009170007.0,BK34
50058436,BAOSHOPPE,Asian,Manhattan,34,CANAL ST,10002.0,40.71450343891,-73.99062476566,103.0,1.0,600.0,1003601.0,1002830076.0,MN28
50058444,TRACEY ANDERSON,"Juice, Smoothies, Fruit Salads",Manhattan,90,FRANKLIN ST,10013.0,40.718129551943,-74.00500352451,101.0,1.0,3300.0,1001924.0,1001757504.0,MN24
50058445,JAMBA JUICE,"Juice, Smoothies, Fruit Salads",Manhattan,,AMTRAK LEVEL,10001.0,,,,,,,,
50058447,DOUGH BOYS PIZZA,Pizza,Manhattan,451,3RD AVE,10016.0,40.743906652191,-73.979433192743,106.0,2.0,7000.0,1020028.0,1009120001.0,MN20
50058452,SATORI,Hamburgers,Queens,9109,31ST AVE,11369.0,40.760133240618,-73.877474980516,403.0,22.0,35100.0,4033592.0,4013890030.0,QN28
50058456,SAMI'S KABAB HOUSE,Afghan,Queens,3557,CRESCENT ST,11106.0,40.758921820015004,-73.93270868258,401.0,26.0,4700.0,4004017.0,4003390021.0,QN70
50058462,BAYA BOWLS,"Juice, Smoothies, Fruit Salads",Brooklyn,9417,3RD AVE,11209.0,40.617759281802,-74.033372516581,310.0,43.0,5400.0,3155472.0,3061140001.0,BK31
50058469,MADMAN ESPRESSO,Café/Coffee/Tea,Manhattan,54,UNIVERSITY PL,10003.0,40.732599909273,-73.993934565065,102.0,2.0,5900.0,1009238.0,1005670019.0,MN23
50058475,YI MIN RESTAURANT,Chinese,Brooklyn,3821,FORT HAMILTON PKWY,11218.0,40.6434933021,-73.98997896399,312.0,39.0,22600.0,3122979.0,3052900027.0,BK88
50058477,TACO BELL,Mexican,Bronx,249,E 149TH ST,10451.0,40.81762091075,-73.92364946838,201.0,17.0,6500.0,2128550.0,2023380003.0,BX34
50058480,GREEK FELLA,Greek,Staten Island,1547,ARTHUR KILL RD,10312.0,40.562507433647,-74.191697713766,503.0,51.0,22800.0,5127870.0,5059000020.0,SI05
50058493,NEW YORK SAL'S PIZZERIA,Pizza,Manhattan,696,10TH AVE,10019.0,40.763733649336,-73.992462480043,104.0,3.0,12700.0,1026631.0,1010580063.0,MN15
50058502,PRET A MANAGER,American,Manhattan,99,PARK AVE,10016.0,40.75073822369001,-73.97866592156801,106.0,4.0,8000.0,1019460.0,1008950001.0,MN20
50058511,MI TAQUERIA TOLTE RESTAURANT,Mexican,Queens,9210,CORONA AVE,11373.0,40.742429211156995,-73.872163078491,404.0,25.0,46100.0,4046003.0,4018620003.0,QN29
50058520,MULBERRY & VINE,American,Manhattan,155,E 44TH ST,10017.0,40.752378682374,-73.974240385296,106.0,4.0,9200.0,1036177.0,1012990033.0,MN19
50058524,YUM YUM CHINESE FOOD,Chinese,Staten Island,1778,FOREST AVE,10303.0,40.625024447521,-74.148069191977,501.0,49.0,30301.0,5110623.0,5014770130.0,SI12
50058527,NEW DRAGON,Chinese,Manhattan,2413A,2ND AVE,10035.0,40.8019329563,-73.934156792073,111.0,8.0,19400.0,1054649.0,1017880028.0,MN34
50058533,NEW SAN FRANCISO RESTAURANT,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Manhattan,59,AUDUBON AVE,10032.0,40.840619634979,-73.938252899399,112.0,10.0,25100.0,1062996.0,1021250027.0,MN36
50058546,MR KING FOOD KITCHEN,Chinese,Brooklyn,579,ALBANY AVE,11203.0,40.660446137747996,-73.939764727989,309.0,41.0,87401.0,3107089.0,3048050006.0,BK60
50058548,PINO'S PIZZERIA,Pizza,Staten Island,1026,ROSSVILLE AVE,10309.0,40.552178409762995,-74.212114409841,503.0,51.0,20801.0,5110507.0,5070540518.0,SI32
50058549,LITTLE BEAN,Café/Coffee/Tea,Manhattan,111,CENTRAL PARK N,10026.0,40.798601980857,-73.953306369313,110.0,9.0,21600.0,1087691.0,1018207503.0,MN11
50058550,CASA COLOMBIA,Spanish,Queens,8623,ROOSEVELT AVE,11372.0,40.748075148458,-73.879738478737,403.0,21.0,27900.0,4036259.0,4014740037.0,QN28
50058554,SIPS AND MAKER,Café/Coffee/Tea,Staten Island,312,NEW DORP LN,10306.0,40.571766872383,-74.112218316455,502.0,50.0,13400.0,5057565.0,5042190066.0,SI45
50058559,PRET A MANGER,American,Manhattan,299,7TH AVE,10001.0,40.74651585585,-73.99387194043899,105.0,3.0,9500.0,1015057.0,1008020077.0,MN17
50058562,MINI MELANIE,Bakery,Brooklyn,630,FLUSHING AVE,11206.0,40.699955930335996,-73.948449306538,303.0,36.0,25700.0,3329628.0,3017200001.0,BK75
50058564,DREAMERS PIZZA,Pizza,Manhattan,1850,3RD AVE,10029.0,40.789050036159,-73.946523846699,111.0,8.0,16600.0,1085257.0,1016300033.0,MN33
50058571,OH SO JUICY,"Juice, Smoothies, Fruit Salads",Brooklyn,1348,CONEY ISLAND AVE,11230.0,40.624576886531,-73.965150692857,312.0,44.0,45600.0,3171268.0,3065310006.0,BK43
50058578,MELT SHOP,Sandwiches,Manhattan,135,4TH AVE,10003.0,40.733403839523,-73.98988240002,103.0,2.0,4200.0,1077855.0,1005580010.0,MN22
50058583,VEGGIES,"Juice, Smoothies, Fruit Salads",Brooklyn,994,NOSTRAND AVE,11225.0,40.664360059494,-73.951003694438,309.0,35.0,32100.0,3034523.0,3013080036.0,BK63
50058588,SWEETGREEN 55TH AND PARK,Salads,Manhattan,66,E 55TH ST,10022.0,40.760645501134,-73.972529761483,105.0,4.0,10200.0,1087101.0,1012907501.0,MN17
50058591,GOTAN,American,Brooklyn,258,WYTHE AVE,11249.0,40.717061493746,-73.96308201326,301.0,33.0,55500.0,3062390.0,3023570017.0,BK73
50058592,HOTEL RL,American,Brooklyn,1080,BROADWAY,11221.0,40.694531274172,-73.930923959136,303.0,36.0,28900.0,3413948.0,3016000007.0,BK35
50058597,TIM HORTON'S,American,Staten Island,7001,AMBOY RD,10307.0,40.515842237008,-74.233502136328,503.0,51.0,24800.0,5088658.0,5080080014.0,SI11
50058613,BURGER KING,Hamburgers,Bronx,3440,JEROME AVE,10467.0,40.881609877963,-73.882486724458,207.0,11.0,42100.0,2017770.0,2033270089.0,BX43
50058614,BA SAK CHICKEN,Korean,Queens,17107,NORTHERN BLVD,11358.0,40.757996319646004,-73.79551533783301,407.0,19.0,117500.0,4438198.0,4053500001.0,QN51
50058617,KOME WAZA,Japanese,Manhattan,40,WATER ST,10004.0,40.703389799931,-74.010149093628,101.0,1.0,900.0,1000858.0,1000300034.0,MN25
50058618,ORIGINAL HAZI BIRYANI,Bangladeshi,Queens,17016A,HILLSIDE AVE,11432.0,40.711150017276,-73.79175314291099,412.0,27.0,46200.0,4210211.0,4098260052.0,QN61
50058619,WHILE IN KATHMANDU,Asian,Queens,758,SENECA AVE,11385.0,40.70220772374,-73.906704999902,405.0,34.0,54900.0,4082614.0,4034570031.0,QN20
50058620,ANGELINA'S KITCHEN,Italian,Staten Island,280,MARSH AVE,10314.0,40.577141721981,-74.164064560974,502.0,51.0,27702.0,5039659.0,5024000300.0,SI24
50058621,FILLMORE'S TAVERN,American,Queens,16602,65TH AVE,11365.0,40.736679258522,-73.802675246054,408.0,24.0,122300.0,4149166.0,4069070033.0,QN38
50058625,TIM HORTONS,Café/Coffee/Tea,Staten Island,1562,HYLAN BOULEVARD,10305.0,40.590611465586,-74.08847220058,502.0,50.0,7000.0,5000000.0,5033680018.0,SI36
50058627,GLATT CONEY KOSHER CHINESE RESTAURANT,Jewish/Kosher,Brooklyn,1558,CONEY ISLAND AVE,11230.0,40.619372470482,-73.964162846845,312.0,44.0,45400.0,3171991.0,3065460014.0,BK46
50058630,MADAME VO'S,Vietnamese/Cambodian/Malaysia,Manhattan,212,E 10TH ST,10003.0,40.729341156459,-73.98581674340801,103.0,2.0,4000.0,1006408.0,1004510017.0,MN22
50058631,THE CROSSBAR CAFE,Café/Coffee/Tea,Queens,3423,38TH ST,11101.0,40.756568291808,-73.922030455916,401.0,26.0,15700.0,4010900.0,4006720013.0,QN70
50058634,LA FLOR DEL CANARIO #2 RESTAURANT PIZZERIA,Spanish,Brooklyn,2225,PITKIN AVE,11207.0,40.672736151322,-73.89018149462301,305.0,37.0,115200.0,3088794.0,3039940035.0,BK82
50058655,BLUE RIBBON FEDERAL GRILL,American,Manhattan,84,WILLIAM ST,10038.0,40.708020402083996,-74.007938774978,101.0,1.0,1502.0,1001113.0,1000680016.0,MN25
50058659,JOJO'S PHILOSOPHY,American,Manhattan,169,BLEECKER ST,10012.0,40.728738184452,-74.000317505784,102.0,1.0,6500.0,1008687.0,1005390042.0,MN23
50058667,GOTHAM COFFEE ROASTERS,Café/Coffee/Tea,Manhattan,23,W 19TH ST,10011.0,40.739502896701005,-73.992356973645,105.0,3.0,5400.0,1015480.0,1008210055.0,MN13
50058670,THE GEM SALOON,American,Manhattan,375,3RD AVE,10016.0,40.741431185077,-73.98123470632599,106.0,2.0,6600.0,1019868.0,1009080001.0,MN20
50058673,AMMAZZACAFFE,Other,Brooklyn,702,GRAND ST,11211.0,40.711556311104005,-73.944660072882,301.0,34.0,49500.0,3069589.0,3027880016.0,BK90
50058675,DRAGON GARDEN,Chinese,Bronx,3178,BAINBRIDGE AVE,10467.0,40.875392725836,-73.879500080665,207.0,11.0,42300.0,2018127.0,2033420008.0,BX43
50058678,LOKAL,Mediterranean,Manhattan,473,COLUMBUS AVE,10024.0,40.784319299916,-73.97373687844,107.0,6.0,16900.0,1031203.0,1011960062.0,MN12
50058679,DO ME A FAVOR,Bakery,Bronx,1332,COMMERCE AVE,10461.0,40.836614209505,-73.840460986293,210.0,13.0,9600.0,2027190.0,2038380226.0,BX59
